tconst,averageRating,numVotes
tt0004766,5.6,238
tt0004779,7.0,12
tt0004786,5.4,12
tt0004792,6.4,27
tt0004825,6.4,332
tt0004832,5.3,42
tt0004837,6.7,30
tt0004838,5.9,202
tt0004846,5.2,37
tt0004847,4.1,29
tt0004853,8.4,20
tt0004866,4.0,24
tt0004869,4.1,29
tt0004872,6.6,271
tt0004873,6.1,602
tt0004891,6.0,17
tt0004897,4.0,24
tt0004905,5.2,51
tt0004907,6.9,40
tt0004942,4.0,19
tt0004961,6.3,25
tt0004972,6.2,25783
tt0004974,3.5,28
tt0004979,4.5,15
tt0005003,6.0,12
tt0005005,6.4,30
tt0005040,6.6,12
tt0005041,6.5,67
tt0005049,6.1,22
tt0005054,7.9,30
tt0005059,6.4,148
tt0005060,6.3,1053
tt0005061,4.2,43
tt0005062,4.7,21
tt0005076,6.5,73
tt0005078,6.5,2690
tt0005082,4.9,21
tt0005084,6.1,123
tt0005087,4.2,24
tt0005099,4.3,11
tt0005149,6.0,320
tt0005160,5.0,35
tt0005163,6.0,32
tt0005172,6.1,31
tt0005179,5.6,60
tt0005180,7.1,26
tt0005190,7.4,24
tt0005192,6.4,22
tt0005193,8.2,19
tt0005195,4.7,24
tt0005196,7.7,47
tt0005200,6.5,43
tt0005209,5.1,46
tt0005214,5.3,140
tt0005231,3.2,43
tt0005232,6.7,22
tt0005250,5.6,20
tt0005302,6.4,290
tt0005328,4.1,16
tt0005334,4.8,8
tt0005339,5.7,1008
tt0005352,5.6,21
tt0005353,7.2,44
tt0005363,6.7,24
tt0005368,5.0,21
tt0005377,5.6,22
tt0005381,5.5,90
tt0005384,6.1,32
tt0005392,7.3,18
tt0005393,5.3,70
tt0005402,6.5,254
tt0005411,1.0,21
tt0005416,4.1,19
tt0005460,5.5,74
tt0005496,7.1,14
tt0005513,4.2,36
tt0005514,3.5,38
tt0005522,5.6,61
tt0005529,6.7,386
tt0005530,6.6,10
tt0005535,7.3,44
tt0005551,7.5,36
tt0005553,3.8,24
tt0005554,7.9,18
tt0005556,8.3,25
tt0005557,6.6,437
tt0005561,8.0,19
tt0005562,4.5,33
tt0005565,5.4,10
tt0005566,6.1,16
tt0005579,6.0,33
tt0005589,6.4,32
tt0005592,6.5,26
tt0005600,5.5,64
tt0005604,5.4,21
tt0005613,6.2,20
tt0005615,6.4,60
tt0005621,6.9,57
tt0005644,7.0,17
tt0005667,2.0,24
tt0005680,5.9,203
tt0005682,5.2,87
tt0005683,5.9,53
tt0005700,5.8,34
tt0005719,5.6,199
tt0005733,6.6,22
tt0005739,6.6,37
tt0005746,5.0,21
tt0005752,7.2,18
tt0005756,6.8,25
tt0005772,4.6,25
tt0005785,5.0,15
tt0005793,5.7,15
tt0005802,1.6,26
tt0005808,5.4,35
tt0005809,6.7,324
tt0005811,6.4,17
tt0005823,6.3,44
tt0005831,6.4,23
tt0005832,5.5,76
tt0005869,4.6,13
tt0005871,6.7,26
tt0005879,6.1,29
tt0005884,4.7,16
tt0005901,5.8,21
tt0005905,7.0,27
tt0005916,6.8,978
tt0005928,5.4,29
tt0005930,5.3,26
tt0005931,6.4,61
tt0005939,5.1,32
tt0005945,7.1,57
tt0005951,6.8,787
tt0005955,5.3,120
tt0005960,6.8,1377
tt0005974,6.8,28
tt0005984,6.8,18
tt0005987,5.7,26
tt0005994,8.4,15
tt0005997,5.5,25
tt0006007,7.0,18
tt0006008,5.9,39
tt0006041,5.5,17
tt0006059,5.4,18
tt0006063,4.2,25
tt0006101,7.3,29
tt0006102,5.3,69
tt0006108,8.3,11
tt0006128,4.7,17
tt0006140,5.7,21
tt0006144,3.0,32
tt0006160,6.2,49
tt0006182,6.0,124
tt0006201,2.4,27
tt0006202,5.0,19
tt0006204,6.3,21
tt0006206,7.3,5253
tt0006210,5.7,23
tt0006213,2.7,31
tt0006217,6.7,20
tt0006238,7.6,39
tt0006241,8.0,25
tt0006243,5.3,24
tt0006276,6.2,38
tt0006279,2.0,25
tt0006280,1.6,22
tt0006283,6.6,33
tt0006291,7.8,27
tt0006299,8.1,22
tt0006318,5.2,21
tt0006327,5.8,205
tt0006332,5.7,11
tt0006333,6.1,1927
tt0006339,4.5,44
tt0006343,5.0,29
tt0006345,4.3,7
tt0006350,4.7,27
tt0006357,6.1,118
tt0006358,7.5,22
tt0006359,6.1,93
tt0006371,6.4,22
tt0006373,7.8,33
tt0006375,6.2,56
tt0006385,6.6,19
tt0006386,6.4,43
tt0006397,5.7,64
tt0006405,6.6,447
tt0006409,7.2,75
tt0006413,5.4,19
tt0006417,5.8,24
tt0006419,3.5,15
tt0006426,5.0,55
tt0006436,5.7,19
tt0006437,7.4,30
tt0006456,7.1,31
tt0006463,8.3,18
tt0006481,6.0,81
tt0006482,6.2,136
tt0006489,5.4,33
tt0006493,4.8,8
tt0006495,6.0,13
tt0006505,7.0,21
tt0006508,6.9,51
tt0006509,5.3,597
tt0006511,6.1,80
tt0006517,5.9,399
tt0006547,8.1,90
tt0006554,6.5,23
tt0006557,6.2,26
tt0006564,5.3,84
tt0006568,6.9,67
tt0006570,5.7,20
tt0006580,5.0,17
tt0006586,7.2,13
tt0006588,6.2,15
tt0006589,6.5,176
tt0006592,6.0,83
tt0006600,3.6,27
tt0006605,6.6,24
tt0006611,5.0,10
tt0006614,6.4,251
tt0006617,6.2,268
tt0006621,5.6,40
tt0006623,5.2,9
tt0006626,7.8,8
tt0006631,6.2,22
tt0006637,7.2,20
tt0006638,6.0,17
tt0006641,5.0,17
tt0006653,6.5,32
tt0006664,5.1,106
tt0006666,5.6,40
tt0006673,3.5,26
tt0006679,4.8,37
tt0006688,6.4,206
tt0006692,4.6,38
